ISIN,Settlement Date,Price,Accrued Interest,Yield,MDuration
US9128275Z13,23.01.2010,100.359398,2.84375,0.726,0.063
US912828DL16,23.01.2010,100.1875,1.53125,0.492,0.063
US912828DP20,23.01.2010,100.531197,1.436464,0.225,0.139
US912828DR85,23.01.2010,100.875,1.098901,0.114,0.224
US912828DU15,23.01.2010,101.140602,0.738605,0.185,0.306
US912828GG93,23.01.2010,100.265602,2.078125,0.489,0.063
US912828GR58,23.01.2010,101.343803,0.857735,0.153,0.306
US912828HP83,23.01.2010,100.031197,1.016304,0.683,0.022
US912828HS23,23.01.2010,100.171898,0.801105,0.269,0.098
US912828HU78,23.01.2010,100.3125,0.552885,0.052,0.183
US912828HX18,23.01.2010,100.546898,0.493094,0.083,0.265
US912828JA96,23.01.2010,100.875,0.389423,0.135,0.35
US9128276J61,23.01.2010,103.109398,2.515625,0.216,0.544
US912828DX53,23.01.2010,101.359398,0.388393,0.162,0.391
US912828DZ02,23.01.2010,101.765602,0.085635,0.177,0.473
US912828ED80,23.01.2010,102.195297,1.804688,0.218,0.548
US912828EG12,23.01.2010,102.335899,1.391575,0.225,0.633
US912828EJ50,23.01.2010,102.898399,1.167582,0.247,0.715
US912828EM89,23.01.2010,103.414101,0.857735,0.274,0.799
US912828JC52,23.01.2010,101.171898,0.182666,0.187,0.432
US912828JF83,23.01.2010,101.328102,1.315217,0.202,0.51
US912828JJ06,23.01.2010,101.296898,0.951312,0.209,0.596
US912828JL51,23.01.2010,101.222702,0.631868,0.21,0.679
US912828JP65,23.01.2010,100.945297,0.348066,0.267,0.765
US912828EQ93,23.01.2010,103.625,0.46875,0.306,0.881
US912828JS05,23.01.2010,100.828102,0.18544,0.276,0.847
DE0001135085,13.06.2009,104.559998,4.476712,4.391,12.029
DE0001135143,13.06.2009,123.477997,2.739726,4.477,12.163
DE0001135150,13.06.2009,104.255997,4.947945,1.175,0.998
DE0001135168,13.06.2009,105.820999,2.30137,1.447,1.492
DE0001135176,13.06.2009,113.929001,2.410959,4.477,12.841
DE0001135184,13.06.2009,106.450996,4.712329,1.778,1.89
DE0001135192,13.06.2009,107.444,2.191781,1.986,2.38
DE0001135200,13.06.2009,108.093002,4.712329,2.231,2.735
DE0001135218,13.06.2009,106.955002,1.972603,2.434,3.242
DE0001135226,13.06.2009,104.241997,4.476712,4.465,14.111
DE0001135234,13.06.2009,104.267998,3.534247,2.627,3.624
DE0001135242,13.06.2009,106.181,1.863014,2.785,4.071
DE0001135259,13.06.2009,106.334999,4.005479,2.885,4.376
DE0001135267,13.06.2009,103.630997,1.643836,3.028,4.908
DE0001135275,13.06.2009,93.913002,1.753425,4.383,15.835
DE0001135283,13.06.2009,100.632004,3.063014,3.133,5.268
DE0001135291,13.06.2009,101.531998,1.534247,3.235,5.712
DE0001135309,13.06.2009,104.058998,3.769863,3.344,5.888
DE0001135317,13.06.2009,102.109001,1.643836,3.426,6.412
DE0001135325,13.06.2009,98.536003,4.005479,4.338,16.04
DE0001135333,13.06.2009,105.278,4.005479,3.487,6.537
DE0001135341,13.06.2009,103.374001,1.753425,3.534,7.07
DE0001135358,13.06.2009,105.382004,4.4119,3.544,7.181
DE0001135366,13.06.2009,106.949997,4.476712,4.338,15.917
DE0001135374,13.06.2009,101.386002,2.166377,3.573,7.78
DE0001135382,13.06.2009,98.964996,0.210959,3.623,8.325
DE0001134922,13.06.2009,122,2.739726,4.197,9.807
DE0001135044,13.06.2009,125.466003,6.126028,4.422,10.87
DE0001135069,13.06.2009,114.924004,2.465753,4.427,11.681
DE0001134468,13.06.2009,115.620003,5.884932,3.456,5.535
AU0000XCLWG7,13.06.2009,103.412003,-0.032,3.964,1.887
AU0000XCLWH5,13.06.2009,105.880997,0.512,4.834,3.438
