ISIN,Ticker,Maturity,Coupon,Issue Date,Interest Accrues From,First Coupon Date,Redemption,Currency,Frequency,Daycount Convention
AU0000XCLWG7,ACGB,15.6.2011,0.0575,27.8.1998,15.6.1998,15.12.1998,100,AUD,2,ACT/ACT
AU0000XCLWH5,ACGB,15.5.2013,0.065,25.5.2000,15.5.2000,15.11.2000,100,AUD,2,ACT/ACT
AU0000XCLWI3,ACGB,15.4.2015,0.0625,30.5.2002,15.4.2002,15.10.2002,100,AUD,2,ACT/ACT
AU300TB01208,ACGB,15.2.2017,0.06,10.6.2004,15.2.2004,15.8.2004,100,AUD,2,ACT/ACT
AU300TB01216,ACGB,15.8.2010,0.0525,20.1.2005,15.8.2004,15.2.2005,100,AUD,2,ACT/ACT
AU300TB01224,ACGB,15.3.2019,0.0525,19.1.2006,15.9.2005,15.3.2006,100,AUD,2,ACT/ACT
AU3TB0000010,ACGB,15.4.2012,0.0575,14.12.2006,15.10.2006,15.4.2007,100,AUD,2,ACT/ACT
AU0000XCLWM5,ACGB,15.5.2021,0.0575,13.9.2007,15.5.2007,15.11.2007,100,AUD,2,ACT/ACT
AU3TB0000028,ACGB,15.6.2014,0.0625,24.7.2008,15.6.2008,15.12.2008,100,AUD,2,ACT/ACT
AU3TB0000036,ACGB,15.4.2020,0.045,4.5.2009,15.4.2009,15.10.2009,100,AUD,2,ACT/ACT
BE0000295049,BGB,28.9.2010,0.0575,25.1.2000,25.1.2000,28.9.2000,100,EUR,1,ACT/ACT
BE0000296054,BGB,28.9.2011,0.05,23.1.2001,23.1.2001,28.9.2001,100,EUR,1,ACT/ACT
BE0000298076,BGB,28.9.2012,0.05,24.1.2002,24.1.2002,28.9.2002,100,EUR,1,ACT/ACT
BE0000300096,BGB,28.9.2017,0.055,5.6.2002,5.6.2002,28.9.2002,100,EUR,1,ACT/ACT
BE0000301102,BGB,28.9.2013,0.0425,30.1.2003,30.1.2003,28.9.2003,100,EUR,1,ACT/ACT
BE0000303124,BGB,28.9.2014,0.0425,28.1.2004,28.1.2004,28.9.2004,100,EUR,1,ACT/ACT
BE0000304130,BGB,28.3.1935,0.05,19.5.2004,19.5.2004,28.3.2005,100,EUR,1,ACT/ACT
BE0000306150,BGB,28.9.2015,0.0375,16.3.2005,16.3.2005,28.9.2005,100,EUR,1,ACT/ACT
BE0000307166,BGB,28.9.2016,0.0325,24.1.2006,24.1.2006,28.9.2006,100,EUR,1,ACT/ACT
BE0000308172,BGB,28.3.2022,0.04,24.5.2006,24.5.2006,28.3.2007,100,EUR,1,ACT/ACT
BE0000309188,BGB,28.3.2017,0.04,23.1.2007,23.1.2007,28.3.2007,100,EUR,1,ACT/ACT
BE0000310194,BGB,28.3.2013,0.04,2.5.2007,2.5.2007,28.3.2008,100,EUR,1,ACT/ACT
BE0000312216,BGB,28.3.2018,0.04,29.1.2008,29.1.2008,28.3.2008,100,EUR,1,ACT/ACT
BE0000313222,BGB,28.3.2011,0.035,28.2.2008,28.2.2008,28.3.2008,100,EUR,1,ACT/ACT
BE0000314238,BGB,28.3.2014,0.04,24.4.2008,24.4.2008,28.3.2009,100,EUR,1,ACT/ACT
BE0000315243,BGB,28.3.2019,0.04,21.1.2009,21.1.2009,28.3.2009,100,EUR,1,ACT/ACT
BE0000316258,BGB,28.3.2015,0.035,24.3.2009,24.3.2009,28.3.2010,100,EUR,1,ACT/ACT
BE0000262684,BGB,24.12.2012,0.08,24.12.1992,24.12.1992,24.12.1993,100,EUR,1,ACT/ACT
BE0000282880,BGB,28.3.2015,0.08,29.6.1995,28.3.1995,28.3.1996,100,EUR,1,ACT/ACT
BE0000291972,BGB,28.3.2028,0.055,26.2.1998,28.3.1997,28.3.1998,100,EUR,1,ACT/ACT
DE0001137222,BKO,11.6.2010,0.0475,13.6.2008,11.6.2008,11.6.2009,100,EUR,1,ACT/ACT
DE0001137230,BKO,10.9.2010,0.04,12.9.2008,10.9.2008,10.9.2009,100,EUR,1,ACT/ACT
DE0001137248,BKO,10.12.2010,0.0225,12.12.2008,10.12.2008,10.12.2009,100,EUR,1,ACT/ACT
DE0001137255,BKO,11.3.2011,0.0125,13.3.2009,11.3.2009,11.3.2010,100,EUR,1,ACT/ACT
FR0107674006,BTNS,12.7.2010,0.025,21.6.2005,12.7.2004,12.7.2005,100,EUR,1,ACT/ACT
FR0108354806,BTNS,12.1.2011,0.03,24.1.2006,12.1.2006,12.1.2007,100,EUR,1,ACT/ACT
FR0108847049,BTNS,12.7.2011,0.035,20.6.2006,12.7.2005,12.7.2006,100,EUR,1,ACT/ACT
FR0109970386,BTNS,12.1.2012,0.0375,23.1.2007,12.1.2007,12.1.2008,100,EUR,1,ACT/ACT
FR0110979186,BTNS,12.7.2012,0.045,26.6.2007,12.7.2006,12.7.2007,100,EUR,1,ACT/ACT
FR0113087466,BTNS,12.1.2013,0.0375,22.1.2008,12.1.2008,12.1.2009,100,EUR,1,ACT/ACT
FR0113872776,BTNS,12.9.2010,0.0375,20.5.2008,12.9.2007,12.9.2008,100,EUR,1,ACT/ACT
FR0114683842,BTNS,12.7.2013,0.045,22.7.2008,12.7.2008,12.7.2009,100,EUR,1,ACT/ACT
FR0116114978,BTNS,12.1.2014,0.025,27.1.2009,12.1.2009,12.1.2010,100,EUR,1,ACT/ACT
FR0116843519,BTNS,12.9.2011,0.015,26.5.2009,12.9.2008,12.9.2009,100,EUR,1,ACT/ACT
IT0001278511,BTPS,1.11.2029,0.0525,18.11.1998,1.11.1998,1.5.1999,100,EUR,2,ACT/ACT
IT0001444378,BTPS,1.5.1931,0.06,17.3.2000,1.11.1999,1.5.2000,100,EUR,2,ACT/ACT
IT0001448619,BTPS,1.11.2010,0.055,3.4.2000,1.11.1999,1.5.2000,100,EUR,2,ACT/ACT
IT0003080402,BTPS,1.8.2011,0.0525,1.3.2001,1.2.2001,1.8.2001,100,EUR,2,ACT/ACT
IT0003190912,BTPS,1.2.2012,0.05,1.11.2001,1.8.2001,1.2.2002,100,EUR,2,ACT/ACT
IT0003242747,BTPS,1.8.2017,0.0525,14.2.2002,1.2.2002,1.8.2002,100,EUR,2,ACT/ACT
IT0003256820,BTPS,1.2.1933,0.0575,18.3.2002,1.2.2002,1.8.2002,100,EUR,2,ACT/ACT
IT0003357982,BTPS,1.2.2013,0.0475,2.9.2002,1.8.2002,1.2.2003,100,EUR,2,ACT/ACT
IT0003472336,BTPS,1.8.2013,0.0425,2.5.2003,1.2.2003,1.8.2003,100,EUR,2,ACT/ACT
IT0003493258,BTPS,1.2.2019,0.0425,25.6.2003,1.2.2003,1.8.2003,100,EUR,2,ACT/ACT
IT0003535157,BTPS,1.8.1934,0.05,24.9.2003,1.8.2003,1.2.2004,100,EUR,2,ACT/ACT
IT0003618383,BTPS,1.8.2014,0.0425,2.2.2004,1.2.2004,1.8.2004,100,EUR,2,ACT/ACT
IT0003644769,BTPS,1.2.2020,0.045,24.3.2004,1.2.2004,1.8.2004,100,EUR,2,ACT/ACT
IT0003719918,BTPS,1.2.2015,0.0425,1.9.2004,1.8.2004,1.2.2005,100,EUR,2,ACT/ACT
IT0003844534,BTPS,1.8.2015,0.0375,2.5.2005,1.2.2005,1.8.2005,100,EUR,2,ACT/ACT
IT0003872923,BTPS,15.6.2010,0.0275,17.6.2005,15.6.2005,15.12.2005,100,EUR,2,ACT/ACT
IT0003934657,BTPS,1.2.1937,0.04,19.10.2005,1.8.2005,1.2.2006,100,EUR,2,ACT/ACT
IT0004009673,BTPS,1.8.2021,0.0375,1.2.2006,1.2.2006,1.8.2006,100,EUR,2,ACT/ACT
IT0004019581,BTPS,1.8.2016,0.0375,1.3.2006,1.2.2006,1.8.2006,100,EUR,2,ACT/ACT
IT0004026297,BTPS,15.3.2011,0.035,15.3.2006,15.3.2006,15.9.2006,100,EUR,2,ACT/ACT
IT0004112816,BTPS,15.9.2011,0.0375,18.9.2006,15.9.2006,15.3.2007,100,EUR,2,ACT/ACT
IT0004164775,BTPS,1.2.2017,0.04,2.1.2007,1.8.2006,1.2.2007,100,EUR,2,ACT/ACT
IT0004220627,BTPS,15.4.2012,0.04,17.4.2007,15.4.2007,15.10.2007,100,EUR,2,ACT/ACT
IT0004254352,BTPS,1.8.2010,0.045,1.8.2007,1.8.2007,1.2.2008,100,EUR,2,ACT/ACT
IT0004273493,BTPS,1.2.2018,0.045,3.9.2007,1.8.2007,1.2.2008,100,EUR,2,ACT/ACT
IT0004284334,BTPS,15.10.2012,0.0425,15.10.2007,15.10.2007,15.4.2008,100,EUR,2,ACT/ACT
IT0004286966,BTPS,1.8.1939,0.05,23.10.2007,1.8.2007,1.2.2008,100,EUR,2,ACT/ACT
IT0004332521,BTPS,1.2.2011,0.0375,3.3.2008,1.2.2008,1.8.2008,100,EUR,2,ACT/ACT
IT0004356843,BTPS,1.8.2023,0.0475,16.4.2008,1.2.2008,1.8.2008,100,EUR,2,ACT/ACT
IT0004361041,BTPS,1.8.2018,0.045,2.5.2008,1.2.2008,1.8.2008,100,EUR,2,ACT/ACT
IT0004365554,BTPS,15.4.2013,0.0425,16.5.2008,15.4.2008,15.10.2008,100,EUR,2,ACT/ACT
IT0004404973,BTPS,1.9.2011,0.0425,1.9.2008,1.9.2008,1.3.2009,100,EUR,2,ACT/ACT
IT0004423957,BTPS,1.3.2019,0.045,3.11.2008,1.9.2008,1.3.2009,100,EUR,2,ACT/ACT
IT0004448863,BTPS,15.12.2013,0.0375,16.1.2009,15.12.2008,15.6.2009,100,EUR,2,ACT/ACT
IT0004467483,BTPS,1.3.2012,0.03,2.3.2009,1.3.2009,1.9.2009,100,EUR,2,ACT/ACT
IT0004489610,BTPS,1.9.2019,0.0425,4.5.2009,1.3.2009,1.9.2009,100,EUR,2,ACT/ACT
IT0000366655,BTPS,1.11.2023,0.09,18.11.1993,1.11.1993,1.5.1994,99.909,EUR,2,ACT/ACT
IT0001086567,BTPS,1.11.2026,0.0725,3.2.1997,1.11.1996,1.5.1997,99.999,EUR,2,ACT/ACT
IT0001174611,BTPS,1.11.2027,0.065,18.11.1997,1.11.1997,1.5.1998,100,EUR,2,ACT/ACT
CA135087RS50,CAN,1.6.2010,0.095,10.4.1986,10.4.1986,1.6.1986,100,CAD,2,ACT/ACT
CA135087UT96,CAN,1.6.2023,0.08,17.8.1992,17.8.1992,1.12.1992,100,CAD,2,ACT/ACT
CA135087VH40,CAN,1.6.2025,0.09,2.8.1994,2.8.1994,1.12.1994,100,CAD,2,ACT/ACT
CA135087VW17,CAN,1.6.2027,0.08,1.5.1996,1.5.1996,1.6.1996,100,CAD,2,ACT/ACT
CA135087WL43,CAN,1.6.2029,0.0575,2.2.1998,2.2.1998,1.6.1998,100,CAD,2,ACT/ACT
CA135087WX80,CAN,1.6.2010,0.055,3.8.1999,3.8.1999,1.12.1999,100,CAD,2,ACT/ACT
CA135087XB51,CAN,1.6.2011,0.06,1.5.2000,1.5.2000,1.6.2000,100,CAD,2,ACT/ACT
CA135087XG49,CAN,1.6.1933,0.0575,15.10.2001,15.10.2001,1.12.2001,100,CAD,2,ACT/ACT
